,RecievedTime,FinishedRecievedTime,Latitude,Longitude,SailTime,built,dwt,loa,beam,draughtMeters
720,2019-06-09 23:46:22+00:00,2019-07-01 22:16:42+00:00,-35.28255,18.5008,526.5055555555557,2009,76574,225.0,32.26,14.2
721,2019-11-12 15:59:51+00:00,2019-11-29 22:17:12+00:00,-33.922735,26.21950666666667,414.28916666666674,2012,75380,225.0,32.26,14.2
722,2019-04-24 13:51:35+00:00,2019-05-09 07:55:46+00:00,6.079883333333332,94.72056666666668,354.0697222222222,2015,79343,229.0,32.26,14.6
723,2019-08-17 13:26:06+00:00,2019-08-30 23:33:20+00:00,3.2565166666666667,90.9958,322.1205555555556,2015,79343,229.0,32.26,14.6
724,2019-05-15 15:41:49+00:00,2019-05-29 15:41:12+00:00,6.147483333333334,95.1343,335.98972222222216,2015,79489,229.0,32.26,14.6
725,2019-03-30 01:50:07+00:00,2019-04-13 07:47:48+00:00,5.993541666666666,95.11082333333331,341.9613888888889,2011,75031,225.0,32.26,14.2
726,2019-11-28 23:59:08+00:00,2019-12-13 07:50:54+00:00,-35.789705,29.39948333333333,343.8627777777778,2011,75031,225.0,32.26,14.2
727,2019-04-16 12:52:47+00:00,2019-04-29 23:57:24+00:00,5.590953333333332,94.33187666666667,323.07694444444445,2011,75200,225.0,32.26,14.2
728,2019-06-21 23:59:23+00:00,2019-07-08 15:06:44+00:00,-33.94784166666667,26.493421666666666,399.1225,2011,75200,225.0,32.26,14.2
729,2019-04-22 20:27:29+00:00,2019-05-08 15:42:01+00:00,5.9242083333333335,95.109785,379.2422222222222,2010,82158,228.99,32.26,14.43
730,2019-06-11 15:40:39+00:00,2019-06-28 11:49:51+00:00,-35.27572833333333,18.46508333333333,404.1533333333333,2010,82158,228.99,32.26,14.43
731,2020-02-01 12:48:15+00:00,2020-02-17 07:56:56+00:00,6.166113333333334,95.026575,379.1447222222222,2010,82158,228.99,32.26,14.43
732,2019-07-01 07:55:40+00:00,2019-07-18 22:01:31+00:00,-34.94256833333333,18.076991666666668,422.0975,2010,82163,228.99,32.26,14.43
733,2019-04-24 15:58:14+00:00,2019-05-13 23:04:23+00:00,-34.81594666666667,18.667483333333333,463.1025,2011,82153,228.99,32.26,14.43
734,2019-10-14 07:29:52+00:00,2019-11-02 13:50:32+00:00,-35.26960166666667,18.069843333333328,462.3444444444444,2011,82153,228.99,32.26,14.43
