,Unnamed: 0,Imo,RecievedTime,FinishedRecievedTime,Latitude,Longitude,NavStatus,SailTime,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
1427,1427,9708992,2019-09-10 15:54:50+00:00,2019-09-26 01:36:42+00:00,-35.229016666666666,19.523156666666665,0,369.6977777777778,Belgrano,Bulk Carrier,2015,81870,228.99,32.26,In Service,Marshall Is.,7.0,7.0,Tsuneishi Cebu,Philippines,14.43,9/26/2020,6/29/2025
1428,1428,9709001,2019-07-06 07:58:22+00:00,2019-07-23 14:03:03+00:00,-35.16155333333333,19.057806666666668,0,414.07805555555564,Leo Iris,Bulk Carrier,2015,81820,228.99,32.26,In Service,Panama,7.0,7.0,Tsuneishi Cebu,Philippines,14.43,10/06/2015,01/05/2021
1429,1429,9709001,2019-09-02 13:46:01+00:00,2019-09-16 15:30:52+00:00,6.094045,95.94540333333332,0,337.7475,Leo Iris,Bulk Carrier,2015,81820,228.99,32.26,In Service,Panama,7.0,7.0,Tsuneishi Cebu,Philippines,14.43,10/06/2015,01/05/2021
1430,1430,9710555,2019-05-07 23:56:23+00:00,2019-05-25 15:10:14+00:00,-35.93730833333333,20.99126,0,423.23083333333335,Olivia R,Bulk Carrier,2015,81800,228.98,32.24,In Service,Marshall Is.,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,05/06/2020,06/02/2025
1431,1431,9710593,2019-09-30 07:32:59+00:00,2019-10-16 20:43:27+00:00,-35.939276666666665,20.939016666666667,0,397.17444444444436,Cosmar,Bulk Carrier,2016,82025,229.0,32.26,In Service,Marshall Is.,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,9/27/2016,9/26/2021
1432,1432,9711145,2019-03-26 15:59:40+00:00,2019-04-10 20:28:54+00:00,-33.88114,25.68457833333333,0,364.4872222222222,Darya Shanti,Bulk Carrier,2016,82028,229.0,32.26,In Service,Hong Kong,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,2/23/2016,2/23/2021
1433,1433,9711145,2019-04-27 18:17:51+00:00,2019-05-12 23:58:22+00:00,6.004395,95.20358166666666,0,365.6752777777778,Darya Shanti,Bulk Carrier,2016,82028,229.0,32.26,In Service,Hong Kong,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,2/23/2016,2/23/2021
1434,1434,9711145,2019-06-30 07:55:52+00:00,2019-07-16 13:57:17+00:00,-35.74749833333333,18.309651666666667,0,390.02361111111117,Darya Shanti,Bulk Carrier,2016,82028,229.0,32.26,In Service,Hong Kong,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,2/23/2016,2/23/2021
1435,1435,9711937,2019-09-14 07:58:37+00:00,2019-09-26 23:58:38+00:00,5.19585,93.46169833333332,0,304.0002777777778,Nord Virgo,Bulk Carrier,2014,81001,229.0,32.26,In Service,Panama,7.0,7.0,JMU Tsu Shipyard,Japan,14.48,1/31/2020,9/25/2024
1436,1436,9713428,2019-09-11 15:40:17+00:00,2019-09-24 15:57:15+00:00,5.9883,95.05820833333334,0,312.28277777777777,Sea Vision,Bulk Carrier,2015,77154,224.98,32.24,In Service,Marshall Is.,7.0,7.0,Imabari SB Hiroshima,Japan,14.45,12/13/2019,1/14/2025
1437,1437,9713428,2019-11-03 23:58:30+00:00,2019-11-18 12:25:59+00:00,-35.48202666666667,33.055146666666666,0,348.45805555555563,Sea Vision,Bulk Carrier,2015,77154,224.98,32.24,In Service,Marshall Is.,7.0,7.0,Imabari SB Hiroshima,Japan,14.45,12/13/2019,1/14/2025
