,Unnamed: 0,Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,UnderwayCount,WaitingCount,MooredCount,OtherCount,FinishedCount,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
1279,1279,9589621,2019-10-19 23:58:58+00:00,-20.080666666666666,118.594,1,0 days 23:59:42.000000000,64,38,40,0,1615,Edgar,Bulk Carrier,2011,118936,259.91,43.0,In Service,Liberia,7.0,7.0,Sinopacific Zhejiang,China P.R.,14.5,8/18/2018,07/10/2021
1280,1280,9589695,2019-12-17 15:59:18+00:00,-20.065535,118.62282666666668,0,3 days 00:00:39.000000000,61,25,25,0,2083,KM Kobe,Bulk Carrier,2011,180652,291.98,45.0,In Service,Panama,9.0,9.0,Koyo Dock,Japan,18.24,6/23/2016,5/22/2021
1281,1281,9589695,2020-01-30 07:58:44+00:00,-20.122666666666667,118.63634166666668,1,13 days 15:59:59.000000000,36,41,25,0,2419,KM Kobe,Bulk Carrier,2011,180652,291.98,45.0,In Service,Panama,9.0,9.0,Koyo Dock,Japan,18.24,6/23/2016,5/22/2021
1282,1282,9590060,2019-09-26 23:59:07+00:00,-20.107385,118.60943,1,1 days 15:59:43.000000000,64,27,33,0,1453,Sunrise,Bulk Carrier,2011,179168,292.0,45.0,In Service,Antigua & B.,9.0,9.0,Sungdong SB,South Korea,18.32,2/16/2016,4/14/2021
1283,1283,9590606,2019-09-19 15:58:15+00:00,-20.083411666666667,118.60943,1,4 days 07:59:34.000000000,64,28,29,0,1397,Glovis Advance,Bulk Carrier,2012,179217,292.0,45.0,In Service,Panama,9.0,9.0,Hyundai HI (Ulsan),South Korea,18.22,2/18/2017,2/28/2022
1284,1284,9590694,2019-10-01 07:57:02+00:00,-20.090718333333328,118.56663333333331,1,5 days 00:01:12.000000000,68,29,32,0,1487,Phar Lap,Bulk Carrier,2011,179276,292.0,45.0,In Service,Panama,9.0,9.0,Hyundai HI (Ulsan),South Korea,18.22,8/31/2016,8/30/2021
1285,1285,9590694,2019-12-23 15:59:36+00:00,-20.10578,118.62245,1,2 days 15:59:42.000000000,64,27,28,0,2135,Phar Lap,Bulk Carrier,2011,179276,292.0,45.0,In Service,Panama,9.0,9.0,Hyundai HI (Ulsan),South Korea,18.22,8/31/2016,8/30/2021
1286,1286,9590694,2020-01-29 15:58:30+00:00,-20.11124,118.54157,1,4 days 23:58:54.000000000,37,44,22,0,2415,Phar Lap,Bulk Carrier,2011,179276,292.0,45.0,In Service,Panama,9.0,9.0,Hyundai HI (Ulsan),South Korea,18.22,8/31/2016,8/30/2021
1287,1287,9590709,2019-04-25 15:57:43+00:00,-20.08398,118.59508999999998,1,11 days 08:00:26.000000000,32,44,22,0,226,Alpha Liberty,Bulk Carrier,2011,179276,292.0,45.0,In Service,Greece,9.0,9.0,Hyundai HI (Ulsan),South Korea,18.22,03/05/2017,12/19/2021
1288,1288,9590709,2019-07-10 15:59:37+00:00,-20.135396666666665,118.54173166666666,5,0 days 15:57:38.000000000,71,16,28,0,849,Alpha Liberty,Bulk Carrier,2011,179276,292.0,45.0,In Service,Greece,9.0,9.0,Hyundai HI (Ulsan),South Korea,18.22,03/05/2017,12/19/2021
