Latitude,Longitude,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,draughtMeters
-20.12021667,118.56401670000001,39.98916667,22,31,3,2006,54881,189.99,32.26,12.52
-20.12724167,118.52042,48.00916667,15,29,1,2007,54316,189.99,32.26,12.6
-20.15386667,118.52436670000002,55.96166667,26,23,3,2009,47370,182.5,32.23,12.62
-20.135070000000002,118.53978000000001,127.97194440000001,22,25,3,2017,49999,183.2,32.26,12.84
-20.15336667,118.54000829999998,8.026111111,31,28,3,2008,51277,183.0,32.2,12.9
-20.11544167,118.5283483,48.00527778,37,29,3,2008,51277,183.0,32.2,12.9
-20.13494667,118.53591670000002,87.99666667,19,28,3,2008,51277,183.0,32.2,12.9
-20.13613333,118.50965500000001,239.95972220000002,15,21,3,2008,51277,183.0,32.2,12.9
-20.136525,118.50842,55.97694444,21,28,3,2015,49731,183.2,32.3,12.91
-20.13348833,118.54115829999999,55.99166667,10,12,3,2011,50079,182.5,32.23,12.92
-20.134395,118.54476170000001,135.9852778,25,20,3,2011,50079,182.5,32.23,12.92
-20.083820000000003,118.61938,8.003333332999999,24,29,1,2013,104229,253.54,43.0,13.0
-20.13530333,118.51265500000001,136.0316667,36,10,3,2017,49990,183.34,32.2,13.04
-20.135695000000002,118.51288829999999,48.03305556,25,30,3,2019,49997,182.5,32.2,13.1
-20.12726333,118.5267067,95.96166667,43,24,3,2019,49997,182.5,32.2,13.1
-20.0813,118.60021670000002,40.03388889,20,28,1,2008,106507,254.62,43.0,13.16
-20.1069,118.5132,48.03083333,35,12,1,2008,106506,254.62,43.0,13.16
-20.10411667,118.53103329999999,63.965,22,26,1,2008,106507,254.62,43.0,13.16
-20.08321667,118.6087,159.96277780000003,26,39,1,2008,106507,254.62,43.0,13.16
-20.135865,118.5384933,7.999166667000001,29,27,3,2019,49999,183.1,32.2,13.24
-20.08935333,118.52931170000001,167.97555559999998,41,25,3,2019,49999,183.1,32.2,13.24
-20.12894833,118.52439,152.0625,20,22,3,2015,49635,183.06,32.2,13.26
-20.15146333,118.52436329999999,31.96472222,29,39,3,2014,49478,183.0,32.2,13.3
-20.07020167,118.594375,184.21027780000003,33,29,1,2015,63166,199.99,32.26,13.3
-20.13696333,118.51293329999999,63.96833333,20,28,3,2016,45500,183.06,32.2,13.31
-20.13719167,118.51451329999999,71.98222222,23,32,3,2014,49990,183.0,32.2,13.32
-20.12891167,118.52596499999999,127.96305559999999,37,42,3,2015,50145,183.08,32.2,13.32
-20.13676667,118.54298500000002,7.976666667000001,17,29,1,2012,107236,254.99,43.0,13.4
-20.31601833,118.56926499999999,7.998888889,30,28,1,2012,107236,254.99,43.0,13.4
-20.074975,118.5290433,120.0286111,21,25,1,2012,107236,254.99,43.0,13.4
-20.10922833,118.5163633,223.9616667,38,22,1,2012,107236,254.99,43.0,13.4
-20.06835,118.59008329999999,15.99916667,17,28,1,2007,106552,255.22,43.0,13.46
-20.1046,118.52893329999999,255.9925,36,29,1,2007,106552,255.22,43.0,13.46
-20.12028833,118.6359767,8.017777778,37,37,1,2011,107392,254.99,43.0,13.53
-20.12045333,118.56603170000001,23.98138889,22,30,1,2011,107392,254.99,43.0,13.53
-20.12951333,118.5247033,24.03277778,29,28,1,2013,107235,254.99,43.0,13.53
-20.072195,118.5253633,32.00694444,23,25,1,2011,107288,254.99,43.0,13.53
-20.11884333,118.63048,40.0325,25,26,1,2013,107235,254.99,43.0,13.53
-20.13583333,118.54055829999999,48.03666667,17,36,1,2011,107392,254.99,43.0,13.53
-20.06630167,118.59326000000001,64.40083333,34,17,1,2013,107235,254.99,43.0,13.53
-20.09920667,118.5919883,224.00666669999998,23,23,1,2011,107392,254.99,43.0,13.53
-20.12334333,118.6096633,8.003333332999999,25,28,1,2011,106661,253.0,43.0,13.6
-20.06903833,118.608875,40.0275,30,29,1,2011,106661,253.0,43.0,13.6
-20.10716333,118.61695,135.9625,32,29,1,2011,106661,253.0,43.0,13.6
-20.10176667,118.52603329999998,23.97861111,16,33,3,2007,72562,225.0,32.26,13.9
-20.09526667,118.50946,135.9688889,23,28,1,2013,75321,225.0,32.26,14.2
-20.13485,118.53488329999999,8.001388889,22,23,1,2008,76381,225.0,32.26,14.22
-20.15298333,118.5369733,7.995833332999999,39,35,1,2015,78184,225.0,32.2,14.43
-20.10951833,118.565205,23.99222222,19,27,1,2015,78184,225.0,32.2,14.43
-20.09948833,118.52272669999999,32.00166667,21,29,1,2015,78184,225.0,32.2,14.43
-20.106435,118.510425,16.01083333,19,38,1,2015,80866,229.0,32.26,14.45
-20.108055,118.58086329999999,103.98611109999999,33,29,1,2015,80446,229.0,32.26,14.45
-20.119615,118.63261170000001,16.94444444,25,24,1,2014,95591,234.98,38.0,14.47
-20.06550833,118.57254170000002,40.02222222,16,29,1,2011,95712,234.98,38.0,14.47
-20.0823,118.62221000000001,47.98944444,30,28,1,2013,95717,234.98,38.0,14.47
-20.087429999999998,118.52733500000001,87.99555556,27,30,1,2013,95719,234.98,38.0,14.47
-20.12184333,118.5108283,88.005,33,25,1,2015,95522,234.98,38.0,14.47
-20.08126833,118.54045829999998,39.99527778,20,30,1,2014,81005,229.0,32.26,14.48
-20.13360167,118.5130117,40.01111111,18,26,1,2011,98681,239.99,38.0,14.48
-20.13601667,118.50907169999999,88.01,34,29,1,2011,98681,239.99,38.0,14.48
-20.06903667,118.58938500000001,152.01388889999998,22,26,1,2011,98681,239.99,38.0,14.48
-20.094095000000003,118.5904033,8.008611111,28,32,1,2014,115297,254.0,43.0,14.5
-20.13879333,118.54178329999999,8.019444444,32,39,1,2013,115198,254.0,43.0,14.5
-20.081355,118.51198670000001,8.048055556,23,28,1,2014,115339,254.0,43.0,14.5
-20.13058333,118.52938329999999,15.99861111,16,23,1,2013,114038,250.0,43.0,14.5
-20.1251,118.52956670000002,16.01388889,18,31,1,2011,115488,254.0,43.0,14.5
-20.095064999999998,118.5951,16.01444444,42,9,1,2010,114841,255.28,43.0,14.5
-20.08639333,118.52318670000001,16.02111111,17,29,1,2014,115297,254.0,43.0,14.5
-20.06835,118.589945,16.02666667,21,24,1,2011,115259,255.2,43.0,14.5
-20.08960667,118.520075,23.96694444,30,28,1,2010,114861,255.2,43.0,14.5
-20.08066667,118.594,23.995,38,40,1,2011,118936,259.91,43.0,14.5
-20.10666667,118.57513329999999,23.9975,17,26,1,2011,114078,250.0,43.0,14.5
-20.09301667,118.51813329999999,23.99944444,30,40,1,2013,114038,250.0,43.0,14.5
-20.09911667,118.59183329999999,24.02111111,25,25,1,2011,114091,250.0,43.0,14.5
-20.108,118.60785,24.17277778,15,12,1,2011,115000,255.0,43.0,14.5
-20.11621667,118.52465,31.99027778,26,28,1,2013,114038,250.0,43.0,14.5
-20.09848667,118.51146499999999,31.99472222,17,38,1,2013,114775,255.2,43.0,14.5
-20.07181,118.52523000000001,31.99972222,29,28,1,2012,115066,254.0,43.0,14.5
-20.09396667,118.57973,32.01833333,34,28,1,2012,115079,254.0,43.0,14.5
-20.09671833,118.515325,47.96916667,24,21,1,2010,115910,255.28,43.0,14.5
-20.10752167,118.5136967,47.97694444,21,40,1,2014,115088,254.0,43.0,14.5
-20.0956,118.51731670000001,47.9975,19,23,1,2011,114437,255.0,43.0,14.5
-20.111955,118.52550330000001,263.9875,32,37,1,2014,114047,249.88,43.0,14.5
-20.12048333,118.57605,55.99444444,21,26,1,2011,114078,250.0,43.0,14.5
-20.08051667,118.53533329999999,55.99944444,16,26,1,2013,114038,250.0,43.0,14.5
-20.1178,118.53335,56.00805556,20,28,1,2012,93721,235.0,38.0,14.5
-20.08000167,118.5881367,56.03472222,24,25,1,2012,115079,254.0,43.0,14.5
-20.10928333,118.56316670000001,56.03888889,22,25,1,2012,93721,235.0,38.0,14.5
-20.120325,118.61528500000001,63.97694444,19,30,1,2014,115088,254.0,43.0,14.5
-20.09623333,118.62178329999999,63.99027778,28,20,1,2011,115429,254.0,43.0,14.5
-20.10710833,118.57621999999999,63.99388889,26,22,1,2011,118585,260.41,43.0,14.5
-20.06741167,118.6079067,64.01277778,24,28,1,2012,115075,254.0,43.0,14.5
