Latitude,Longitude,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,draughtMeters
-20.12090667,118.61891,15.9575,14,12,1,2013,206382,299.7,50,18.23
-20.065845,118.5737533,15.95777778,18,25,1,2010,177921,292,45,18.3
-20.08539167,118.60528,15.95888889,23,25,1,2011,180132,292,45,18.22
-20.13539667,118.5417317,15.96055556,16,28,1,2011,179276,292,45,18.22
-20.12371167,118.5437267,15.96333333,36,41,2,2013,263055,328.05,57,18.83
-20.10807333,118.5436867,15.96527778,24,31,2,2016,250380,325,57,18
-20.12028667,118.6049717,15.96527778,23,26,2,2013,251022,329.95,57,18.03
-20.13652833,118.53783,15.96527778,18,26,1,2011,179191,292,45,18.32
-20.09481667,118.5382333,15.96555556,22,28,1,2010,175713,291.8,45,18.25
-20.09213833,118.53758,15.96583333,27,15,1,2016,208384,299.95,50,18.4
-20.13843667,118.5402417,15.96583333,30,28,2,2017,261085,327,57,18.8
-20.122495,118.5939383,15.96611111,16,22,1,2010,180079,295,46,18.1
-20.09244833,118.5586017,15.96722222,42,18,1,2011,180643,291.9,45,18.07
-20.13942333,118.5149967,15.96944444,38,15,1,2011,179397,292,45,18.22
-20.11995333,118.5889833,15.97027778,35,15,1,2015,180193,295,46,18.1
-20.07946,118.5950217,15.97083333,20,26,1,2016,211182,300,49,18.6
-20.11606667,118.5227183,15.97111111,32,25,1,2011,28228,169.37,27.2,9.82
-20.066915,118.5694683,15.97138889,31,30,1,2011,180300,294.47,46,18.1
-20.12092667,118.54142,15.97166667,32,16,1,2011,207855,300,50,18.22
-20.08853167,118.52365,15.97416667,17,24,1,2012,174977,291.8,45,18.27
-20.10641167,118.5687733,15.97444444,19,32,1,2014,179965,295,46,18.1
-20.12357167,118.5773683,15.975,16,28,1,2016,181221,291.98,45,18.24
-20.12593333,118.5275683,15.97555556,22,29,2,2004,229186,319.5,54,18.1
-20.12303,118.56758,15.97555556,23,28,1,2010,178978,292,45,18.2
-20.09966667,118.6217333,15.97694444,19,28,1,2010,180309,288.93,45,18.17
-20.08013833,118.5811183,15.97694444,19,38,1,2013,207435,300,50,18.2
-20.12183667,118.5793183,15.97694444,25,28,1,2016,206752,300,50,18.59
-20.08680833,118.5251367,15.97805556,22,32,1,2013,180032,295,46,18.1
-20.10516667,118.5751367,15.97916667,18,24,1,2018,210036,299.99,50,18.43
-20.1392,118.53945,15.98,18,29,3,2015,33117,179.93,28.4,10.03
-20.12395,118.5392883,15.98,24,25,3,2015,39000,179.9,30,10.6
-20.10728833,118.5411433,15.98055556,30,34,1,2017,210000,299.87,48.99,18.62
-20.13955833,118.541185,15.98194444,31,28,2,2016,250292,325,57,18
-20.093865,118.536125,15.98222222,40,15,2,2016,250292,325,57,18
-20.11916333,118.53624,15.98222222,24,32,1,2015,180193,295,46,18.1
-20.120935,118.577465,15.98277778,21,29,1,2013,206068,299.85,50,18.49
-20.11593167,118.52578,15.98333333,19,40,1,2012,92950,229.2,38,14.9
-20.13462333,118.506175,15.98333333,14,25,1,2009,178032,292,45,18.3
-20.13847833,118.5150017,15.98361111,31,24,1,2010,175868,291.8,45,18.25
-20.07082,118.5710667,15.98388889,16,29,1,2014,207547,299.94,50,18.27
-20.11,118.5747167,15.98416667,34,23,1,2008,207912,299.7,50,18.23
-20.079815,118.5753,15.98444444,30,31,1,2012,205203,299.9,50,18.37
-20.12233167,118.541465,15.98472222,20,25,1,2010,178978,292,45,18.2
-20.08039667,118.5085383,15.98472222,23,34,1,2016,181267,291.98,45,18.24
-20.09585333,118.5887517,15.985,39,13,1,2017,38868,182,30,10.5
-20.13579333,118.535535,15.985,14,27,3,2011,45996,181.54,32.2,12.17
-20.07936167,118.5279767,15.985,34,38,1,2013,181371,291.98,45,18.24
-20.093005,118.63682,15.98638889,37,25,1,2017,207812,299.88,50,18.5
-20.08042,118.593935,15.98666667,20,32,1,2011,207980,300,50,18.2
