Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,holdsTotal,hatchesToNo,draughtMeters
9738131,2019-12-22 23:59:00+00:00,-20.09692333,118.5166967,1,32.00666667,23,29,Bulk Carrier,2017,178332,292,45,9,9,16.5
9477232,2019-05-17 07:59:22+00:00,-20.072195,118.5253633,1,32.00694444,23,25,Bulk Carrier,2011,107288,254.99,43,7,7,13.53
9469003,2019-09-25 07:58:48+00:00,-20.097315,118.5946683,1,32.0075,28,31,Bulk Carrier,2010,176354,292,45,9,9,18.3
9707546,2019-09-09 15:58:59+00:00,-20.08479167,118.5258933,1,32.00777778,20,25,Bulk Carrier,2015,207451,299.94,50,9,9,18.27
9500742,2019-11-07 15:58:20+00:00,-20.12070167,118.5416733,1,32.00888889,16,39,Bulk Carrier,2011,180643,291.9,45,9,9,18.07
9595606,2019-10-18 23:59:24+00:00,-20.10457333,118.5772983,0,32.00888889,32,37,Bulk Carrier,2011,179469,291.97,45,9,9,18.22
9747895,2020-01-26 07:57:10+00:00,-20.09373667,118.6039733,1,32.00888889,33,29,Bulk Carrier,2016,180967,291.98,45,9,9,18.24
9731779,2020-02-01 07:59:03+00:00,-20.12355833,118.54088,1,32.00944444,37,27,Ore Carrier,2017,262000,325,57,9,9,18
9474034,2019-10-30 07:57:49+00:00,-20.07678167,118.5349033,1,32.01027778,24,39,Ore Carrier,2012,228749,324.99,52.5,5,5,18.1
9723904,2019-08-12 15:59:08+00:00,-20.09981,118.5104683,1,32.01055556,24,26,Bulk Carrier,2016,206752,300,50,9,9,18.59
9750919,2019-12-21 15:59:00+00:00,-20.10502333,118.54006,1,32.01055556,25,29,Bulk Carrier,2016,211182,300,49,9,9,18.6
9304930,2019-07-14 23:58:09+00:00,-20.11923333,118.5739667,1,32.01083333,14,29,Bulk Carrier,2007,203512,299.9,50,9,9,18.1
9595400,2019-08-24 15:58:33+00:00,-20.09589167,118.5423033,1,32.01111111,22,26,Bulk Carrier,2012,206562,299.7,50,9,9,18.23
