,RecievedTime,FinishedRecievedTime,Latitude,Longitude,WaitTime,type,built,dwt,loa,beam,draughtMeters
50,2019-11-07 07:47:56+00:00,2019-11-10 12:29:51+00:00,46.055353333333336,-73.12356833333334,76.69861111111109,Bulk Carrier,1980,38289,222.49,23.14,9.72
51,2019-11-17 15:59:41+00:00,2019-11-17 23:58:34+00:00,46.055785,-73.12431333333333,7.981388888888889,Bulk Carrier,1980,38289,222.49,23.14,9.72
52,2019-11-24 23:59:11+00:00,2019-11-26 15:59:03+00:00,46.05582666666667,-73.123985,39.997777777777785,Bulk Carrier,1980,38289,222.49,23.14,9.72
53,2019-11-30 07:18:40+00:00,2019-12-01 18:23:58+00:00,50.22750333333333,-63.58014166666667,35.08833333333333,Bulk Carrier,1980,38289,222.49,23.14,9.72
54,2019-12-11 07:59:47+00:00,2019-12-13 06:59:49+00:00,46.05443666666667,-73.12953333333333,47.000555555555565,Bulk Carrier,1980,38289,222.49,23.14,9.72
55,2019-12-25 15:57:51+00:00,2019-12-26 21:13:46+00:00,44.94221,-75.04356666666666,29.265277777777783,Bulk Carrier,1980,38289,222.49,23.14,9.72
56,2019-03-30 22:07:55+00:00,2019-04-09 19:19:02+00:00,12.283505,-72.008135,237.18527777777774,Bulk Carrier,1981,69304,230.08,32.23,13.5
57,2019-04-19 22:41:06+00:00,2019-04-20 15:57:53+00:00,32.66099166666667,-79.46379,17.279722222222222,Bulk Carrier,1981,69304,230.08,32.23,13.5
58,2019-04-24 07:58:28+00:00,2019-04-25 23:57:33+00:00,38.918508333333335,-76.4142,39.98472222222223,Bulk Carrier,1981,69304,230.08,32.23,13.5
59,2019-04-30 22:30:45+00:00,2019-05-03 13:36:45+00:00,45.456855,-61.20212333333333,63.1,Bulk Carrier,1981,69304,230.08,32.23,13.5
60,2019-05-04 22:22:33+00:00,2019-05-05 23:59:19+00:00,45.42249333333334,-61.18524166666667,25.612777777777783,Bulk Carrier,1981,69304,230.08,32.23,13.5
61,2019-05-26 23:57:04+00:00,2019-05-29 23:59:33+00:00,38.91601333333333,-76.42017666666666,72.04138888888889,Bulk Carrier,1981,69304,230.08,32.23,13.5
62,2019-06-03 23:50:02+00:00,2019-06-04 22:43:16+00:00,45.459385,-61.207885,22.887222222222217,Bulk Carrier,1981,69304,230.08,32.23,13.5
63,2019-06-06 05:12:15+00:00,2019-06-07 04:50:42+00:00,45.462073333333336,-61.20670166666667,23.64083333333333,Bulk Carrier,1981,69304,230.08,32.23,13.5
64,2019-06-14 15:55:16+00:00,2019-06-14 23:58:45+00:00,28.30103166666667,-80.40864,8.058055555555555,Bulk Carrier,1981,69304,230.08,32.23,13.5
65,2019-06-25 15:04:15+00:00,2019-07-03 22:18:18+00:00,45.45610833333333,-61.20114666666666,199.23416666666665,Bulk Carrier,1981,69304,230.08,32.23,13.5
66,2019-07-05 07:37:06+00:00,2019-07-05 22:38:36+00:00,45.45851666666667,-61.20810666666666,15.025,Bulk Carrier,1981,69304,230.08,32.23,13.5
67,2019-08-09 20:02:32+00:00,2019-08-14 07:58:43+00:00,37.273645,-76.10472666666666,107.93638888888887,Bulk Carrier,1981,69304,230.08,32.23,13.5
68,2019-08-18 15:57:21+00:00,2019-08-19 15:59:24+00:00,38.939483333333335,-76.40530666666666,24.03416666666667,Bulk Carrier,1981,69304,230.08,32.23,13.5
69,2019-08-29 15:36:11+00:00,2019-08-30 04:59:24+00:00,12.305068333333333,-72.01736,13.386944444444444,Bulk Carrier,1981,69304,230.08,32.23,13.5
70,2019-09-09 13:17:03+00:00,2019-09-11 07:35:09+00:00,47.93662333333333,-65.80323166666666,42.30166666666667,Bulk Carrier,1981,69304,230.08,32.23,13.5
71,2019-10-10 19:29:01+00:00,2019-10-11 07:37:03+00:00,9.034348333333334,-80.69501166666667,12.133888888888887,Bulk Carrier,1981,69304,230.08,32.23,13.5
72,2019-11-11 15:59:50+00:00,2019-11-15 18:23:41+00:00,11.121511666666667,-74.27619333333334,98.3975,Bulk Carrier,1981,69304,230.08,32.23,13.5
73,2019-11-18 18:12:31+00:00,2019-11-20 20:06:59+00:00,12.30142,-72.01500833333333,49.907777777777774,Bulk Carrier,1981,69304,230.08,32.23,13.5
74,2020-02-18 06:30:47+00:00,2020-02-19 15:58:52+00:00,37.229735,-76.11832166666667,33.46805555555556,Bulk Carrier,1981,69304,230.08,32.23,13.5
75,2019-03-30 23:51:52+00:00,2019-03-31 07:58:59+00:00,17.8898,-102.17052666666666,8.118611111111111,Bulk Carrier,1981,65738,225.01,32.2,12.91
76,2019-04-17 23:03:23+00:00,2019-04-18 15:31:30+00:00,24.40440833333333,-110.66606000000002,16.468611111111112,Bulk Carrier,1981,65738,225.01,32.2,12.91
77,2019-04-26 23:43:30+00:00,2019-04-30 07:58:08+00:00,17.886453333333332,-102.17245833333334,80.24388888888889,Bulk Carrier,1981,65738,225.01,32.2,12.91
