,Imo,RecievedTime,FinishedRecievedTime,Latitude,Longitude,NavStatus,WaitTime
73,7926162,2019-11-18 18:12:31+00:00,2019-11-20 20:06:59+00:00,12.30142,-72.01500833333333,1,49.90777777777778
74,7926162,2020-02-18 06:30:47+00:00,2020-02-19 15:58:52+00:00,37.229735,-76.11832166666667,1,33.46805555555556
75,7929970,2019-03-30 23:51:52+00:00,2019-03-31 07:58:59+00:00,17.8898,-102.17052666666666,1,8.118611111111111
76,7929970,2019-04-17 23:03:23+00:00,2019-04-18 15:31:30+00:00,24.40440833333333,-110.66606000000002,1,16.468611111111112
77,7929970,2019-04-26 23:43:30+00:00,2019-04-30 07:58:08+00:00,17.886453333333332,-102.17245833333334,1,80.24388888888889
78,7929970,2019-05-12 23:56:16+00:00,2019-05-16 23:58:07+00:00,17.891678333333335,-102.20440833333332,1,96.03083333333333
79,7929970,2019-05-18 23:52:37+00:00,2019-05-22 23:58:29+00:00,17.90173,-102.17065833333334,1,96.09777777777778
80,7929970,2019-05-28 07:36:20+00:00,2019-05-28 14:48:09+00:00,24.40559833333333,-110.65945833333332,1,7.196944444444444
81,7929970,2019-06-10 07:59:32+00:00,2019-06-21 23:58:05+00:00,17.889898333333335,-102.19996166666668,1,279.97583333333336
82,7929970,2019-07-10 15:37:51+00:00,2019-07-29 07:57:58+00:00,17.895954999999997,-102.22196333333332,1,448.3352777777778
83,7929970,2019-09-12 21:14:50+00:00,2019-09-20 07:58:08+00:00,17.884938333333334,-102.16853,1,178.72166666666666
84,7929970,2019-10-26 05:35:33+00:00,2019-10-29 23:57:36+00:00,17.894863333333333,-102.175725,1,90.3675
85,7929970,2019-11-05 07:38:57+00:00,2019-11-15 07:58:14+00:00,17.89728,-102.17083333333332,1,240.3213888888889
86,7929970,2019-12-17 14:27:54+00:00,2019-12-19 22:56:52+00:00,24.39777166666667,-110.65840333333334,1,56.48277777777778
87,7929970,2020-01-17 23:54:44+00:00,2020-01-23 07:59:41+00:00,17.882766666666665,-102.18079666666668,1,128.0825
88,7929970,2020-02-17 23:08:30+00:00,2020-02-20 23:55:28+00:00,17.880853333333334,-102.18960833333334,1,72.78277777777778
89,8110681,2019-06-15 23:57:03+00:00,2019-06-16 15:59:59+00:00,51.89486333333333,1.6918933333333332,1,16.04888888888889
90,8110681,2019-07-19 07:51:19+00:00,2019-07-19 15:43:05+00:00,56.45532666666666,-5.5344783333333325,1,7.862777777777778
